"03/19/2020
21:11:48","03/21/2020
16:25:52","King
Seattle","Ida Culver
House
Broadview","202031921928,
RR 362
KC­
202031921928","WA­
202031921928",,"procedure /
Gloves / RR
362 (DO NOT
DELETE) ­ PPE
for Ida Culver
House
Broadview","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
"03/18/2020
11:31:48","03/21/2020
16:25:52","Kitsap
Bremerton","Kitsap County
Dept of
Emergency
Mgt","WA­
20203181166
Kitsap ­
025BFD","WA­
20203181166",,"Gowns,
disposable,
Mask, N95,
small/ Mask,
N95, Medium,
/ Mask, N95,
Large, /PPE
for Tier 1
EMS/First
Responder","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
"03/18/2020
11:48:04","03/21/2020
16:25:43","Grays
Harbor
Westport","Westport
Police","0001
GHC035","WA­
20203181159",,"Mask, N95",,County,Assigned,Assigned,Logistics Section
"03/18/2020
11:17:17","03/21/2020
16:25:34","Kitsap
Bremerton","Kitsap County
Dept of
Emergency
Mgt","Kitsap ­
024CKFR","WA­
202031811433",,"Mask, N95","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
"03/19/2020
19:14:37","03/21/2020
16:25:34","King
Renton","AFH
Management","PH­
202031919283,
RR 358
KC­
202031919283","WA­
202031919283",,"Disinfectant,
supplies, /
Thermometer,
/ RR 358 (DO
NOT REMOVE)
­ Disinfectant
Supplies and
Thermometers
for AFH
Management","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
"03/19/2020
19:46:16","03/21/2020
16:25:34","King
Seattle","Gencare
Ballard
Landmark","PH­
202031919934,
RR 360
KC­
202031919934","WA­
202031919934",,"Masks, N95 /
RR 360 (DO
NOT REMOVE)
­ PPE for
Gencare
Ballard
Landmark","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
"03/17/2020
09:23:41","03/21/2020
16:25:25","Kitsap
Bremerton","Kitsap County
Dept of
Emergency
Mgt","WA­
20203179945
Kitsap ­ 021","WA­
20203179945",,"Filter, Cover,
PAPR, 20","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
"03/17/2020
14:51:27","03/21/2020
16:25:23","Grays
Harbor
Hoquiam","Riverside
Place","RP­001
GHC034","WA­
202031714124",,"Gloves, Exam,
Medium, /
PPE","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
"03/19/2020
16:52:16","03/21/2020
16:25:22","King
Seattle","Aljoya
Thornton
Place","PH­
202031916309,
RR 352
KC­
202031916309","WA­
202031916309",,"Gown,
disposable, /
Gloves, exam,
medium, / RR
352 (DO NOT
REMOVE) ­
PPE for Aljoya
Thornton
Place","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
"03/19/2020
23:57:57","03/21/2020
16:25:16","King
Seattle","Affable Caring
AFH LLC","PH­
202031923280,
RR 366
KC­
202031923280","WA­
202031923280",,"Hand
Sanitizer, /
Thermometer,
no contact, /
RR 366 (DO
NOT REMOVE)
­ Hand
Sanitizer and
Thermometer
for Affable
Caring AFH
LLC","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
"03/13/2020
10:19:05","03/21/2020
16:25:16","Pacific
Long Beach","City of Long
Beach","PacificCo001
WA­
202031310490","WA­
202031310490",,"Hand
Sanitizer /
Mask, N95 /
Gown,
disposable","Incident
Stabilization",County,Assigned,"Assigned
Assigned","Logistics Section
Logistics Section"
"03/16/2020
16:12:43","03/21/2020
16:25:16","Kitsap
Bremerton","Kitsap County
Dept of
Emergency
Mgt",Kitsap ­ 020,"WA­
202031616527",,"mask, N95 /
hand
sanitizer","Incident
Stabilization",County,Assigned,"Assigned
Assigned","Logistics Section
Logistics Section"
"03/10/2020
14:27:11","03/21/2020
16:25:15","Pierce
Tacoma","Pierce County
Emergency
Management",28601,"WA­
202031014671",,"Particulate
N95 / ^","Incident
Stabilization",County,Completed,Completed,Logistics Section
"03/17/2020
14:08:57","03/21/2020
16:25:15","Grays
Harbor
Aberdeen","Westhaven
Villa","WH001
GHC013","WA­
202031714562",,"gowns,
disposable,
large","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
"03/19/2020
14:10:26","03/21/2020
16:25:05","King
Seattle","UW Homeless
Youth Clinic","PH­
202031914636,
RR 350
KC­
202031914636","WA­
202031914636",,"Masks,
Surgical /
Gown,
Procedure /
RR 350 (DO
NOT REMOVE)
­ PPE for UW
Homeless
Youth Clinic","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
"03/12/2020
11:35:16","03/21/2020
16:25:04","Kitsap
Bremerton","Kitsap County
Administrative
Services
Department",Kitsap ­ 013,"WA­
202031211373",,"Hand
Sanitizer /
Glasses,
Safety, Wipes","Incident
Stabilization",County,Assigned,"Assigned
Assigned","Logistics Section
Logistics Section"
"03/19/2020
14:45:33","03/21/2020
16:24:52","King
Snoqualmie","Snoqualmie
Hospital","PH­
202031914522,
RR 349
KC­
202031914522","WA­
202031914522",,"Masks, N95 /
Masks,
Procedure /
RR 349 (DO
NOT REMOVE)
­ PPE for
Snoqualmie
Hospital","Incident
Stabilization",County,Assigned,Assigned,Logistics Section
